"table","rls_enabled","rls_forced","policies","critical","high","medium","low","roles"
"bom_itens","f","f","0","0","0","0","0",""
"boms","f","f","0","0","0","0","0",""
"clientes","t","f","4","4","0","0","0","{authenticated}"
"consumos_internos","t","f","4","0","2","1","1","{public}"
"credenciais","t","f","4","4","0","0","0","{authenticated}"
"empresas","t","f","2","0","1","1","0","{authenticated}"
"estoque_movimentacoes","t","f","4","0","1","1","2","{public}"
"estoque_saldos","t","f","4","0","2","1","1","{public}"
"fornecedores","t","f","4","0","2","1","1","{public}"
"funcionarios","t","f","4","0","0","4","0","{authenticated}"
"grupos_recursos","t","f","6","6","0","0","0","{authenticated}"
"itens_industriais","t","f","4","0","0","4","0","{authenticated}"
"materias_primas","t","f","4","0","2","1","1","{public}"
"movimentacoes_estoque","t","f","4","0","0","4","0","{authenticated}"
"numeracao_configuracoes","t","f","4","0","2","1","1","{public}"
"ordens_fabricacao","t","f","4","0","2","1","1","{public}"
"pedido_compra_itens","t","f","4","0","1","1","2","{public}"
"pedidos_compra","t","f","4","0","2","1","1","{public}"
"planejamento_compra_origens","t","f","4","0","2","1","1","{public}"
"planejamentos_compra","t","f","4","0","2","1","1","{public}"
"producao_configuracoes","t","f","4","0","2","1","1","{public}"
"profiles","t","f","3","0","0","3","0","{authenticated}"
"projeto_itens","t","f","4","0","2","1","1","{public}"
"projetos","t","f","4","0","2","1","1","{public}"
"recursos_produtivos","t","f","4","4","0","0","0","{authenticated}"
"requisicao_compra_itens","t","f","4","0","2","1","1","{public}"
"requisicoes_compra","t","f","4","0","2","1","1","{public}"
"tecnologias_aplicadas","t","f","4","0","0","4","0","{authenticated}"
"usuarios","t","f","3","2","0","1","0","{authenticated}"
