table_name,row_count
bom_itens,0
boms,0
clientes,3
consumos_internos,0
credenciais,0
empresas,1
estoque_movimentacoes,0
estoque_saldos,0
fornecedores,1
funcionarios,3
grupos_recursos,6
itens_industriais,2
materias_primas,0
movimentacoes_estoque,0
numeracao_configuracoes,0
ordens_fabricacao,0
pedido_compra_itens,0
pedidos_compra,0
planejamento_compra_origens,0
planejamentos_compra,0
producao_configuracoes,0
profiles,1
projeto_itens,0
projetos,0
recursos_produtivos,4
requisicao_compra_itens,0
requisicoes_compra,0
tecnologias_aplicadas,11
usuarios,1
